Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;Plazas
ACCION-DIFUSION;BAR;CASTILLO, 45 (4ª PLANTA) ;0;38002;0;0;0;SANTA CRUZ DE TENERIFE;0
ACENTEJO;RESTAURANTE;ACENTEJO, 30 ;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;44
ACENTEJO;BAR;NUÑEZ DE LA PEÑA, 12 ;0;38000;0;0;0;LA LAGUNA;0
ACENTEJO;BAR-CAFETERIA;CTRA. VIEJA, 170;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;0
ACEVIÑOS, LOS;BAR;GENERAL DEL SUR, 106 CTRA.  ;0;38108;0;0;0;SANTA CRUZ DE TENERIFE;100
ACHAMAN;BAR;GENERAL FRANCO PZA., 11 ;0;38390;0;0;0;SANTA URSULA;0
ACHAMAN;PUB;HELSINKI, S/N. (URB. DAKOTA, L-13/14) JARDINES DEL DUQUE;0;38670;0;0;0;ADEJE;0
ACHAMAN;DISCOTECA;AVDA. ERNESTO SARTI, 1 (C.C. RIO CENTER, L-21/22/23);0;38670;0;0;0;ADEJE;0
ACHE PA'TI;BAR;C.C. ALCAMPO LAS PALMERAS, L-26;0;38200;0;0;0;LA LAGUNA;0
ACHIMAYE;RESTAURANTE;LA GORRINA (EDIF. AYESA, L-2) ;0;38680;0;0;0;GUIA DE ISORA;45
ACOJEJA;RESTAURANTE;EL BROCAL, 11;0;38600;345116;3110909;622;GRANADILLA DE ABONA;35
ACORAN;BAR;BLAS PEREZ, 63 ;0;38000;0;0;0;LOS REALEJOS;0
ACOSTA;BAR;GENERAL BUEN PASO, 5 CTRA.  ;0;38430;0;0;0;ICOD DE LOS VINOS;0
ACOSTA;BAR;GENERAL DEL NORTE, 28 CTRA. ;0;38350;0;0;0;TACORONTE;0
ACROPOLIS;RESTAURANTE;SALYTIEN, L-A4 C.C. ;0;38640;0;0;0;ARONA;105
ACROPOLIS-CARPA;BAR;TRASERA GASOLINERA CALETILLAS, S/N. ;0;38530;0;0;0;CANDELARIA;0
ACTUAL, EL (L'ACTUEL);RESTAURANTE;PLAYA FAÑABE, L-5/5ºB C.C. (LAGOS DE FAÑABE);0;38670;0;0;0;ADEJE;44
ACUARIO;CAFETERIA;LAS CHAFIRAS, S/N. URB. ;0;38620;0;0;0;SAN MIGUEL;28
ACUARIO;BAR;CTRA. GENERAL DEL NORTE, 100;0;38350;0;0;0;TACORONTE;0
ACUARIO;BAR;GUANCHE, 76 ;0;38390;0;0;0;SANTA URSULA;32
ACUARIUS RALLYE;BAR;CORONEL GORRIN, 15 AVDA. ;0;38684;0;0;0;SANTIAGO DEL TEIDE;15
ACUEDUCTO, EL;RESTAURANTE;C.C. NUEVO MAR, 6 SUECIA AVDA. ;0;38640;0;0;0;ARONA;84
ACUEDUCTO, EL;RESTAURANTE;AVDA. CANARIAS, 23 - EDF. FLORIDA, LOCAL 3;0;38410;28,3819663;-16,58424184;0;LOS REALEJOS;38
ADDIS ABBEBA;BAR;GENERAL LA ESPERANZA KM. 3.6 CTRA.;0;38000;0;0;0;EL ROSARIO;500
ADEGA;CAFETERIA;HERACLIO SANCHEZ, 28 ;0;38000;0;0;0;LA LAGUNA;43
ADEJE;BAR;GENERAL FRANCO, 55 ;0;38670;0;0;0;ADEJE;0
ADEJE CAFE;CAFETERIA;ESPAÑA, 4 AVDA. ;0;38680;0;0;0;ADEJE;106
